acronym,structure_id,name,expression_energy,expression_density,sum_expressing_pixel_intensity,sum_expressing_pixels,sum_pixels,receptor
PPN,1052,Pedunculopontine nucleus,0.744702,0.00620286,528458.0,4401.7,709624.0,5-HT1a
LINGmo,10707,"Lingula (I), molecular layer",0.260641,0.00212509,18228.7,148.625,69938.0,5-HT1a
RL,197,Rostral linear nucleus raphe,3.19828,0.0239221,223681.0,1673.06,69938.0,5-HT1a
PVZ,157,Periventricular zone,0.649421,0.0056576,1005270.0,8757.68,1547950.0,5-HT1a
AHNc,708,"Anterior hypothalamic nucleus, central part",1.93674,0.0160828,1535920.0,12754.4,793047.0,5-HT1a
PAS,859,Parasolitary nucleus,1.19858,0.00935439,111338.0,868.944,92891.6,5-HT1a
ECT6b,1045,Ectorhinal area/Layer 6b,4.27169,0.0341613,448130.0,3583.76,104907.0,5-HT1a
SGN,325,Suprageniculate nucleus,0.334238,0.0027593,70127.8,578.939,209814.0,5-HT1a
VISam6b,441,"Anteromedial visual area, layer 6b",0.698174,0.00602918,317158.0,2738.86,454268.0,5-HT1a
TEa6a,729,"Temporal association areas, layer 6a",4.56699,0.0309531,1756740.0,11906.4,384659.0,5-HT1a
AONm,191,"Anterior olfactory nucleus, medial part",2.36984,0.0182828,2776000.0,21416.3,1171390.0,5-HT1a
GPe,1022,"Globus pallidus, external segment",0.707356,0.00594558,3215620.0,27028.4,4545970.0,5-HT1a
TEa1,97,"Temporal association areas, layer 1",0.807471,0.00697637,112946.0,975.827,139876.0,5-HT1a
VISal,402,Anterolateral visual area,1.68977,0.0138536,7090750.0,58133.5,4196280.0,5-HT1a
AIp1,120,"Agranular insular area, posterior part, layer 1",0.910881,0.00844786,127410.0,1181.65,139876.0,5-HT1a
TTv3,1082,"Taenia tecta, ventral part, layer 3",2.50039,0.0190222,397936.0,3027.38,159149.0,5-HT1a
CS,679,Superior central nucleus raphe,3.67949,0.025549,3085860.0,21427.0,838665.0,5-HT1a
PVHmpd,87,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",0.55691,0.00472024,97290.6,824.613,174697.0,5-HT1a
POST1,10696,"Postsubiculum, layer 1",1.76691,0.0130263,1297530.0,9565.82,734349.0,5-HT1a
RSPagl6a,906,"Retrosplenial area, lateral agranular part, layer 6a",0.861182,0.0077242,322106.0,2889.06,374027.0,5-HT1a
PERI6a,335,"Perirhinal area, layer 6a",1.67654,0.0155471,117254.0,1087.33,69938.0,5-HT1a
MEApd,426,"Medial amygdalar nucleus, posterodorsal part",1.61507,0.01384,1186030.0,10163.4,734349.0,5-HT1a
FLgr,10690,"Flocculus, granular layer",0.696998,0.00535872,1194290.0,9182.07,1713480.0,5-HT1a
COA,631,Cortical amygdalar area,1.73215,0.0140821,10659000.0,86655.7,6153600.0,5-HT1a
MY-mot,370,"Medulla, motor related",0.922486,0.00741059,29559100.0,237456.0,32042900.0,5-HT1a
MO,500,Somatomotor areas,1.76095,0.0140789,74400700.0,594840.0,42250300.0,5-HT1a
SCig-c,511,"Superior colliculus, motor related, intermediate gray layer, sublayer c",1.22679,0.0098238,754418.0,6041.15,614950.0,5-HT1a
MBsta,348,"Midbrain, behavioral state related",3.13828,0.021019,10051300.0,67320.1,3202820.0,5-HT1a
SPVC,429,"Spinal nucleus of the trigeminal, caudal part",1.59013,0.0124121,4614430.0,36019.0,2901920.0,5-HT1a
ANcr2gr,10678,"Crus 2, granular layer",0.346217,0.00258787,1935600.0,14468.0,5590710.0,5-HT1a
MB,313,Midbrain,1.40893,0.0109454,103554000.0,804473.0,73498400.0,5-HT1a
LSX,275,Lateral septal complex,3.06188,0.0230449,22266800.0,167588.0,7272270.0,5-HT1a
isl,481,Islands of Calleja,0.96204,0.00724859,305669.0,2303.1,317730.0,5-HT1a
CU,711,Cuneate nucleus,1.29522,0.0103241,415477.0,3311.75,320778.0,5-HT1a
VISl1,421,"Lateral visual area, layer 1",0.67781,0.00611116,94809.3,854.804,139876.0,5-HT1a
BSTa,359,"Bed nuclei of the stria terminalis, anterior division",0.72365,0.00599782,951734.0,7888.25,1315190.0,5-HT1a
ILM,51,Intralaminar nuclei of the dorsal thalamus,0.231955,0.00206985,576553.0,5144.88,2485630.0,5-HT1a
SFO,338,Subfornical organ,0.454742,0.00379952,15901.9,132.866,34969.0,5-HT1a
CTXpl,695,Cortical plate,2.06743,0.0153769,790792000.0,5881670.0,382501000.0,5-HT1a
FN,989,Fastigial nucleus,0.143652,0.00116116,103425.0,836.003,719971.0,5-HT1a
IP,91,Interposed nucleus,0.258665,0.00215809,360877.0,3010.87,1395160.0,5-HT1a
SSp-tr5,1111,"Primary somatosensory area, trunk, layer 5",1.80932,0.0145745,5693410.0,45861.8,3146720.0,5-HT1a
PRE3,10701,"Presubiculum, layer 3",2.34626,0.0167702,1969110.0,14074.5,839256.0,5-HT1a
PF,930,Parafascicular nucleus,0.315586,0.00277628,263666.0,2319.53,835482.0,5-HT1a
ECT2/3,427,Ectorhinal area/Layer 2/3,3.68606,0.0239278,1675670.0,10877.5,454597.0,5-HT1a
PRMmo,10683,"Paramedian lobule, molecular layer",0.266331,0.00207853,1680940.0,13118.6,6311490.0,5-HT1a
GU2/3,180,"Gustatory areas, layer 2/3",1.61021,0.0137923,1407680.0,12057.5,874225.0,5-HT1a
LAV,209,Lateral vestibular nucleus,0.65225,0.00550796,632552.0,5341.62,969800.0,5-HT1a
PIR2,284,"Piriform area, pyramidal layer",1.79553,0.0149303,12243400.0,101807.0,6818790.0,5-HT1a
CUL,928,Culmen,0.427818,0.00332003,6109050.0,47408.5,14279600.0,5-HT1a
AON1,160,"Anterior olfactory nucleus, layer 1",1.12981,0.00848291,2873400.0,21574.2,2543260.0,5-HT1a
ANcr1mo,10677,"Crus 1, molecular layer",0.297553,0.0022293,2091400.0,15669.0,7028670.0,5-HT1a
CA3slm,471,"Field CA3, stratum lacunosum-moleculare",1.46349,0.00948148,306820.0,1987.79,209649.0,5-HT1a
ACAd1,935,"Anterior cingulate area, dorsal part, layer 1",1.58372,0.012247,2325780.0,17985.3,1468550.0,5-HT1a
AHNp,724,"Anterior hypothalamic nucleus, posterior part",1.47014,0.012077,405214.0,3328.77,275629.0,5-HT1a
RSPv2,606,"Retrosplenial area, ventral part, layer 2",1.2397,0.00971917,1090850.0,8552.21,879933.0,5-HT1a
ORBm,731,"Orbital area, medial part",2.83605,0.0218481,5245980.0,40413.6,1849750.0,5-HT1a
LSv,266,"Lateral septal nucleus, ventral part",3.35349,0.0262843,551820.0,4325.11,164551.0,5-HT1a
PVHp,94,"Paraventricular hypothalamic nucleus, parvicellular division",0.521072,0.00451209,273128.0,2365.08,524166.0,5-HT1a
PD,914,Posterodorsal preoptic nucleus,1.40792,0.011671,47471.7,393.518,33717.6,5-HT1a
RSPv1,542,"Retrosplenial area, ventral part, layer 1",1.1706,0.00900484,2392920.0,18407.5,2044180.0,5-HT1a
SPA,609,Subparafascicular area,0.224034,0.00207988,23502.7,218.194,104907.0,5-HT1a
III,35,Oculomotor nucleus,4.45173,0.0296988,622691.0,4154.15,139876.0,5-HT1a
VISC6b,849,"Visceral area, layer 6b",0.866917,0.00743598,121261.0,1040.12,139876.0,5-HT1a
RSPd5,610,"Retrosplenial area, dorsal part, layer 5",1.93826,0.0148972,3451750.0,26529.6,1780850.0,5-HT1a
ENTm,926,"Entorhinal area, medial part, dorsal zone",7.60908,0.0475548,48693000.0,304318.0,6399330.0,5-HT1a
TTd,597,"Taenia tecta, dorsal part",3.94633,0.0288192,9480660.0,69235.1,2402400.0,5-HT1a
SCs,302,"Superior colliculus, sensory related",1.61814,0.0126773,8486510.0,66487.6,5244620.0,5-HT1a
PALc,809,"Pallidum, caudal region",0.870569,0.007256,1895750.0,15800.7,2177600.0,5-HT1a
TTv1,1067,"Taenia tecta, ventral part, layer 1",1.1398,0.00869357,316845.0,2416.67,277984.0,5-HT1a
ACA,31,Anterior cingulate area,1.45555,0.0116826,15440200.0,123926.0,10607800.0,5-HT1a
GRN,1048,Gigantocellular reticular nucleus,0.965252,0.0073929,4894130.0,37484.4,5070320.0,5-HT1a
VISpm4,501,"posteromedial visual area, layer 4",2.08237,0.014944,509386.0,3655.57,244618.0,5-HT1a
SUBd-m,829,"Subiculum, dorsal part, molecular layer",1.93597,0.0140515,874701.0,6348.7,451816.0,5-HT1a
RPO,238,Nucleus raphe pontis,2.3641,0.0170428,248011.0,1787.91,104907.0,5-HT1a
COPYmo,10686,"Copula pyramidis, molecular layer",0.270355,0.00225428,740706.0,6176.17,2739750.0,5-HT1a
MOp,985,Primary motor area,2.05201,0.0163082,47728400.0,379319.0,23259300.0,5-HT1a
VISl,409,Lateral visual area,1.88435,0.0156641,3558260.0,29578.9,1888330.0,5-HT1a
RSPagl5,774,"Retrosplenial area, lateral agranular part, layer 5",1.28716,0.0111124,668535.0,5771.68,519389.0,5-HT1a
SSp-ll6a,478,"Primary somatosensory area, lower limb, layer 6a",2.55746,0.0210944,4111340.0,33911.0,1607590.0,5-HT1a
RSPv2/3,430,"Retrosplenial area, ventral part, layer 2/3",1.18412,0.00904877,1834950.0,14022.2,1549630.0,5-HT1a
PIR1,276,"Piriform area, molecular layer",0.784574,0.00650875,7553010.0,62659.1,9626890.0,5-HT1a
RHP,822,Retrohippocampal region,4.38939,0.0303242,139897000.0,966481.0,31871600.0,5-HT1a
SUBd-sp,845,"Subiculum, dorsal part, pyramidal layer",2.67395,0.0185832,5304480.0,36864.7,1983760.0,5-HT1a
DG,726,Dentate gyrus,3.52956,0.0215849,48708300.0,297874.0,13800100.0,5-HT1a
PGRNl,978,"Paragigantocellular reticular nucleus, lateral part",0.400116,0.00335728,689242.0,5783.27,1722610.0,5-HT1a
HPF,1089,Hippocampal formation,3.83127,0.0250022,300575000.0,1961500.0,78453200.0,5-HT1a
SSp-tr,361,"Primary somatosensory area, trunk",1.31573,0.0105737,14755700.0,118583.0,11214900.0,5-HT1a
VISl6b,121,"Lateral visual area, layer 6b",1.56488,0.0123058,273611.0,2151.6,174845.0,5-HT1a
RSPv,886,"Retrosplenial area, ventral part",1.31663,0.0100449,12439300.0,94902.3,9447830.0,5-HT1a
VISp6a,33,"Primary visual area, layer 6a",1.33921,0.0108809,3184510.0,25873.7,2377890.0,5-HT1a
MOBgl,212,"Main olfactory bulb, glomerular layer",0.574717,0.00484075,5476420.0,46127.0,9528900.0,5-HT1a
PAL,803,Pallidum,1.69156,0.0126824,30958600.0,232110.0,18301800.0,5-HT1a
ENTl3,52,"Entorhinal area, lateral part, layer 3",7.22552,0.050269,5811390.0,40430.7,804287.0,5-HT1a
BSTif,585,"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",0.933529,0.00807302,308267.0,2665.85,330216.0,5-HT1a
MOs5,767,"Secondary motor area, layer 5",2.17539,0.0175786,11754200.0,94981.5,5403260.0,5-HT1a
POST,1037,Postsubiculum,2.59098,0.0178236,5617440.0,38642.9,2168080.0,5-HT1a
SSp-m6a,1102,"Primary somatosensory area, mouth, layer 6a",1.70577,0.0139337,1849120.0,15104.7,1084040.0,5-HT1a
VISpl4,869,"Posterolateral visual area, layer 4",2.912,0.0230389,305490.0,2416.94,104907.0,5-HT1a
SSp-bfd2/3,201,"Primary somatosensory area, barrel field, layer 2/3",1.23562,0.0100954,5228210.0,42716.1,4231250.0,5-HT1a
ENTmv3,371,"Entorhinal area, medial part, ventral zone, layer 3",2.78902,0.0229467,487646.0,4012.11,174845.0,5-HT1a
EPv,966,"Endopiriform nucleus, ventral part",2.0824,0.0169736,2621490.0,21367.7,1258880.0,5-HT1a
PALm,826,"Pallidum, medial region",4.48967,0.0313528,17098000.0,119401.0,3808300.0,5-HT1a
PRM,1025,Paramedian lobule,0.289507,0.00223021,3038240.0,23405.0,10494500.0,5-HT1a
COApm2,248,"Cortical amygdalar area, posterior part, medial zone, layer 2",1.1761,0.00984569,863665.0,7230.17,734349.0,5-HT1a
SSp-ll1,1030,"Primary somatosensory area, lower limb, layer 1",0.125434,0.0010493,100844.0,843.596,803958.0,5-HT1a
AOB,151,Accessory olfactory bulb,0.682211,0.00581036,863807.0,7357.0,1266190.0,5-HT1a
B,280,Barrington's nucleus,1.59029,0.0122853,99477.1,768.476,62552.6,5-HT1a
SSp-ul,369,"Primary somatosensory area, upper limb",1.7014,0.0134361,21954200.0,173373.0,12903600.0,5-HT1a
TTd3,1050,"Taenia tecta, dorsal part, layer 3",4.58928,0.0341182,2762110.0,20534.4,601862.0,5-HT1a
PTLp5,683,"Posterior parietal association areas, layer 5",2.02096,0.0169015,3732300.0,31213.7,1846790.0,5-HT1a
grey,8,Basic cell groups and regions,1.39015,0.0105657,1320570000.0,10036800.0,949947000.0,5-HT1a
NLLd,82,"Nucleus of the lateral lemniscus, dorsal part",0.86656,0.00683178,575752.0,4539.11,664411.0,5-HT1a
VISC4,1010,"Visceral area, layer 4",1.42518,0.0123918,149511.0,1299.98,104907.0,5-HT1a
MEZ,467,Hypothalamic medial zone,1.32144,0.0110495,8148150.0,68132.7,6166130.0,5-HT1a
NODmo,10737,"Nodulus (X), molecular layer",0.237309,0.00199421,343223.0,2884.26,1446310.0,5-HT1a
CBN,519,Cerebellar nuclei,0.226542,0.00188876,669292.0,5580.13,2954380.0,5-HT1a
CEA,536,Central amygdalar nucleus,1.54976,0.0130696,5094200.0,42960.8,3287090.0,5-HT1a
PCG,898,Pontine central gray,2.04312,0.0147758,3055870.0,22100.0,1495690.0,5-HT1a
SIMgr,10672,"Simple lobule, granular layer",0.325474,0.00248129,1559210.0,11886.9,4790590.0,5-HT1a
PAA1,408,"Piriform-amygdalar area, molecular layer",0.566603,0.00448746,429590.0,3402.33,758185.0,5-HT1a
DECgr,10723,"Declive (VI), granular layer",0.169579,0.00123779,549577.0,4011.48,3240840.0,5-HT1a
SSp-un,182305689,"Primary somatosensory area, unassigned",2.36776,0.0185979,14737500.0,115758.0,6224230.0,5-HT1a
SPVOmdmv,61,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",1.20567,0.00801507,126483.0,840.837,104907.0,5-HT1a
PVHpv,110,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",0.418859,0.00364779,58588.3,510.238,139876.0,5-HT1a
COAa,639,"Cortical amygdalar area, anterior part",1.70852,0.0136707,2329590.0,18640.1,1363510.0,5-HT1a
FC,982,Fasciola cinerea,2.37898,0.0169329,415601.0,2958.14,174697.0,5-HT1a
IRN,136,Intermediate reticular nucleus,0.940626,0.00777217,4675570.0,38633.1,4970690.0,5-HT1a
ENTmv,934,"Entorhinal area, medial part, ventral zone",2.27021,0.018775,1349580.0,11161.2,594473.0,5-HT1a
ISN,106,Inferior salivatory nucleus,1.24404,0.0103548,173602.0,1444.97,139547.0,5-HT1a
PRE1,10699,"Presubiculum, layer 1",2.05895,0.0138699,1151990.0,7760.25,559504.0,5-HT1a
SSp-ll4,1094,"Primary somatosensory area, lower limb, layer 4",1.47339,0.0120458,1081500.0,8841.82,734020.0,5-HT1a
RSP,254,Retrosplenial area,1.35151,0.010439,22544400.0,174132.0,16680900.0,5-HT1a
SPF,406,Subparafascicular nucleus,0.516177,0.00461762,470731.0,4211.06,911956.0,5-HT1a
FF,804,Fields of Forel,0.386335,0.00360608,31351.7,292.639,81151.5,5-HT1a
ILA6a,1054,"Infralimbic area, layer 6a",2.23408,0.0183564,1198110.0,9844.35,536290.0,5-HT1a
VPM,733,Ventral posteromedial nucleus of the thalamus,0.403526,0.00370317,1213070.0,11132.4,3006180.0,5-HT1a
IF,12,Interfascicular nucleus raphe,5.39374,0.0379982,377227.0,2657.52,69938.0,5-HT1a
SSp-un6b,182305713,"Primary somatosensory area, unassigned, layer 6b",1.50888,0.0105216,316584.0,2207.58,209814.0,5-HT1a
PTLp6a,308,"Posterior parietal association areas, layer 6a",1.31924,0.010881,1790290.0,14766.2,1357060.0,5-HT1a
AM,127,Anteromedial nucleus,0.573449,0.00468073,368163.0,3005.1,642016.0,5-HT1a
RSPagl1,671,"Retrosplenial area, lateral agranular part, layer 1",0.75686,0.00629186,409914.0,3407.66,541598.0,5-HT1a
PSV,7,Principal sensory nucleus of the trigeminal,0.415546,0.0035713,1104370.0,9491.25,2657640.0,5-HT1a
CA3sp,495,"Field CA3, pyramidal layer",2.23215,0.0153199,8129450.0,55794.8,3641980.0,5-HT1a
SSp-bfd1,981,"Primary somatosensory area, barrel field, layer 1",0.703769,0.00590058,787524.0,6602.8,1119010.0,5-HT1a
VISC2/3,1106,"Visceral area, layer 2/3",1.32263,0.0118646,46250.9,414.893,34969.0,5-HT1a
GU6b,662,"Gustatory areas, layer 6b",1.13057,0.00969009,355629.0,3048.08,314556.0,5-HT1a
AN,1017,Ansiform lobule,0.32256,0.00240435,7878120.0,58723.3,24423700.0,5-HT1a
SPVOvl,69,"Spinal nucleus of the trigeminal, oral part, ventrolateral part",0.663375,0.00499164,672729.0,5062.03,1014100.0,5-HT1a
VISp,385,Primary visual area,1.31399,0.0106685,19294400.0,156655.0,14683900.0,5-HT1a
BSTfu,513,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",0.727471,0.00569685,43897.0,343.759,60342.0,5-HT1a
VISam,394,Anteromedial visual area,1.1385,0.00971888,4018770.0,34306.6,3529890.0,5-HT1a
LDT,162,Laterodorsal tegmental nucleus,2.20303,0.0158368,778098.0,5593.47,353194.0,5-HT1a
SLC,350,Subceruleus nucleus,0.904831,0.00806676,29273.3,260.978,32352.2,5-HT1a
MY-sen,386,"Medulla, sensory related",0.873988,0.00695737,13876600.0,110465.0,15877400.0,5-HT1a
PL2,195,"Prelimbic area, layer 2",1.53845,0.0127039,53684.4,443.306,34895.1,5-HT1a
ECT1,836,Ectorhinal area/Layer 1,0.69654,0.00478255,48714.6,334.482,69938.0,5-HT1a
AI,95,Agranular insular area,2.16585,0.0182965,19994400.0,168907.0,9231650.0,5-HT1a
SUBv-sp,870,"Subiculum, ventral part, pyramidal layer",3.18052,0.0249294,18462500.0,144712.0,5804850.0,5-HT1a
SOC,398,Superior olivary complex,0.199863,0.0017909,392157.0,3513.97,1962130.0,5-HT1a
SSp-m5,974,"Primary somatosensory area, mouth, layer 5",3.46789,0.0268016,7276110.0,56233.6,2098140.0,5-HT1a
ACAv6b,819,"Anterior cingulate area, ventral part, 6b",0.873175,0.00759833,36659.9,319.013,41984.6,5-HT1a
VMHc,769,"Ventromedial hypothalamic nucleus, central part",1.31143,0.0114002,298694.0,2596.53,227762.0,5-HT1a
VISC6a,857,"Visceral area, layer 6a",1.41468,0.0125424,939932.0,8333.33,664411.0,5-HT1a
EPI,958,Epithalamus,0.416866,0.00329547,626592.0,4953.42,1503100.0,5-HT1a
CA2sp,446,"Field CA2, pyramidal layer",4.65718,0.0280511,1622400.0,9772.0,348365.0,5-HT1a
SSp-un2/3,182305697,"Primary somatosensory area, unassigned, layer 2/3",2.03748,0.0163298,3562440.0,28551.7,1748450.0,5-HT1a
LC,147,Locus ceruleus,0.5998,0.00511722,33576.5,286.459,55979.5,5-HT1a
ACAv1,588,"Anterior cingulate area, ventral part, layer 1",0.745632,0.00585326,1407940.0,11052.4,1888250.0,5-HT1a
SSp-ll2/3,113,"Primary somatosensory area, lower limb, layer 2/3",0.769309,0.00632121,1317940.0,10829.2,1713150.0,5-HT1a
PVi,118,"Periventricular hypothalamic nucleus, intermediate part",0.524866,0.00471828,201895.0,1814.93,384659.0,5-HT1a
AUDv6a,520,"Ventral auditory area, layer 6a",3.31574,0.029091,463792.0,4069.14,139876.0,5-HT1a
PP,1044,Peripeduncular nucleus,0.832899,0.00665241,262131.0,2093.65,314721.0,5-HT1a
UVUgr,10732,"Uvula (IX), granular layer",0.277779,0.00219156,523470.0,4129.97,1884490.0,5-HT1a
MA,298,Magnocellular nucleus,1.67359,0.0129162,950495.0,7335.6,567936.0,5-HT1a
ILA,44,Infralimbic area,3.13831,0.0231388,11162000.0,82297.9,3556700.0,5-HT1a
VISam2/3,1066,"Anteromedial visual area, layer 2/3",1.03939,0.00877238,762933.0,6439.1,734020.0,5-HT1a
SAG,271,Nucleus sagulum,0.989888,0.00801484,173077.0,1401.35,174845.0,5-HT1a
P-sen,1132,"Pons, sensory related",0.653914,0.00528444,5962550.0,48184.8,9118240.0,5-HT1a
SCdg,26,"Superior colliculus, motor related, deep gray layer",1.45889,0.0115789,5212170.0,41368.1,3572700.0,5-HT1a
PERI,922,Perirhinal area,1.67654,0.0155471,117254.0,1087.33,69938.0,5-HT1a
GR,1039,Gracile nucleus,1.75323,0.0134805,248576.0,1911.29,141782.0,5-HT1a
ICe,828,"Inferior colliculus, external nucleus",1.35265,0.0111779,8422640.0,69602.0,6226760.0,5-HT1a
BSTmg,521,"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",1.40006,0.0117211,87577.7,733.184,62552.6,5-HT1a
PVHm,71,"Paraventricular hypothalamic nucleus, magnocellular division",0.97805,0.00799119,68258.3,557.707,69790.2,5-HT1a
CN,607,Cochlear nuclei,0.302637,0.00262418,1164120.0,10094.2,3846590.0,5-HT1a
SUBv-m,853,"Subiculum, ventral part, molecular layer",3.10274,0.022339,5099480.0,36715.2,1643540.0,5-HT1a
PG,931,Pontine gray,0.297028,0.00243581,469324.0,3848.75,1580070.0,5-HT1a
PAR3,10695,"Parasubiculum, layer 3",5.91924,0.0386459,4346780.0,28379.6,734349.0,5-HT1a
SSp-n5,702,"Primary somatosensory area, nose, layer 5",3.11286,0.0237455,2068220.0,15776.8,664411.0,5-HT1a
COPYgr,10684,"Copula pyramidis, granular layer",0.2565,0.00213281,634104.0,5272.6,2472140.0,5-HT1a
TTd1,1034,"Taenia tecta, dorsal part, layer 1",3.29281,0.0224926,2457480.0,16786.6,746317.0,5-HT1a
VPLpc,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part",0.572556,0.00532266,88005.4,818.125,153706.0,5-HT1a
CA1slm,391,"Field CA1, stratum lacunosum-moleculare",1.97728,0.0120933,9759860.0,59692.5,4936000.0,5-HT1a
MV,202,Medial vestibular nucleus,0.722739,0.00596069,1450980.0,11966.7,2007610.0,5-HT1a
BLAv,451,"Basolateral amygdalar nucleus, ventral part",1.70969,0.014409,657649.0,5542.56,384659.0,5-HT1a
CTX,688,Cerebral cortex,2.07007,0.0154747,829263000.0,6199120.0,400597000.0,5-HT1a
ENTl6b,60,"Entorhinal area, lateral part, layer 6b",2.77441,0.0235896,582110.0,4949.43,209814.0,5-HT1a
AId,104,"Agranular insular area, dorsal part",2.2532,0.0188139,11740000.0,98027.5,5210380.0,5-HT1a
POL,1029,Posterior limiting nucleus of the thalamus,0.263062,0.00240553,101189.0,925.307,384659.0,5-HT1a
VISam5,433,"Anteromedial visual area, layer 5",1.57962,0.0134165,1435140.0,12189.3,908535.0,5-HT1a
LAT,138,Lateral group of the dorsal thalamus,0.47946,0.00395831,2458820.0,20299.4,5128310.0,5-HT1a
ZI,797,Zona incerta,1.07912,0.00912421,4681640.0,39584.4,4338390.0,5-HT1a
MEV,460,Midbrain trigeminal nucleus,1.05964,0.00849926,44488.6,356.838,41984.6,5-HT1a
NLLv,99,"Nucleus of the lateral lemniscus, ventral part",1.05926,0.0079906,1592780.0,12015.2,1503670.0,5-HT1a
BSTse,602,"Bed nuclei of the stria terminalis, posterior division, strial extension",0.536302,0.00425768,24856.0,197.331,46347.1,5-HT1a
VMH,693,Ventromedial hypothalamic nucleus,1.25517,0.0108408,960693.0,8297.43,765389.0,5-HT1a
VTA,749,Ventral tegmental area,1.66986,0.013107,2522130.0,19796.6,1510380.0,5-HT1a
CENT2mo,10710,"Lobule II, molecular layer",0.818994,0.00598295,1373350.0,10032.6,1676870.0,5-HT1a
LP,218,Lateral posterior nucleus of the thalamus,0.619117,0.00459393,1222110.0,9068.25,1973960.0,5-HT1a
AIv6a,675,"Agranular insular area, ventral part, layer 6a",2.36857,0.0194892,745049.0,6130.44,314556.0,5-HT1a
CA1sr,415,"Field CA1, stratum radiatum",5.44165,0.0320978,33152700.0,195553.0,6092410.0,5-HT1a
ENTm3,664,"Entorhinal area, medial part, dorsal zone, layer 3",7.92035,0.0486855,10524700.0,64694.4,1328820.0,5-HT1a
PBmm,915,"Parabrachial nucleus, medial division, medial medial part",0.781644,0.00693126,418962.0,3715.16,536001.0,5-HT1a
MGd,1072,"Medial geniculate complex, dorsal part",0.400983,0.00314508,238374.0,1869.67,594473.0,5-HT1a
SIMmo,10674,"Simple lobule, molecular layer",0.332736,0.00258988,2396460.0,18653.1,7202290.0,5-HT1a
PFLmo,10689,"Paraflocculus, molecular layer",0.413477,0.00304416,2110970.0,15541.7,5105400.0,5-HT1a
PSTN,364,Parasubthalamic nucleus,1.13248,0.0104214,191896.0,1765.88,169447.0,5-HT1a
HIP,1080,Hippocampal region,3.4494,0.0213608,160678000.0,995020.0,46581500.0,5-HT1a
ACB,56,Nucleus accumbens,1.66459,0.013079,14338800.0,112663.0,8614030.0,5-HT1a
PYRmo,10731,"Pyramus (VIII), molecular layer",0.179317,0.00135017,157187.0,1183.54,876584.0,5-HT1a
UVU,957,Uvula (IX),0.33271,0.00262846,1317300.0,10406.9,3959310.0,5-HT1a
AONe,175,"Anterior olfactory nucleus, external part",1.27595,0.0101205,670716.0,5319.95,525659.0,5-HT1a
DP,814,Dorsal peduncular area,5.20399,0.0349556,3290610.0,22103.2,632324.0,5-HT1a
VMHdm,777,"Ventromedial hypothalamic nucleus, dorsomedial part",1.38492,0.0116599,336658.0,2834.39,243088.0,5-HT1a
SCdw,42,"Superior colliculus, motor related, deep white layer",1.83608,0.014067,61908.3,474.306,33717.6,5-HT1a
NLOT2,268,"Nucleus of the lateral olfactory tract, pyramidal layer",2.94648,0.0234547,824283.0,6561.49,279752.0,5-HT1a
ILA2,747,"Infralimbic area, layer 2",4.06294,0.0290578,836309.0,5981.2,205838.0,5-HT1a
STR,477,Striatum,1.01583,0.00808479,87657000.0,697648.0,86291400.0,5-HT1a
MEAav,418,"Medial amygdalar nucleus, anteroventral part",1.87882,0.0153398,1576810.0,12874.0,839256.0,5-HT1a
PBm,890,"Parabrachial nucleus, medial division",0.78825,0.0069215,477631.0,4194.01,605939.0,5-HT1a
NTSge,674,"Nucleus of the solitary tract, gelatinous part",0.612682,0.00487056,20658.2,164.224,33717.6,5-HT1a
VM,685,Ventral medial nucleus of the thalamus,1.09387,0.00815762,1027430.0,7662.12,939260.0,5-HT1a
PAA3,424,"Piriform-amygdalar area, polymorph layer",2.32053,0.0187731,1541670.0,12472.1,664363.0,5-HT1a
MBO,331,Mammillary body,0.792291,0.00660322,1245360.0,10379.3,1571850.0,5-HT1a
BST,351,Bed nuclei of the stria terminalis,0.865911,0.00721889,1827210.0,15233.0,2110160.0,5-HT1a
SMT,366,Submedial nucleus of the thalamus,0.628887,0.00467055,251481.0,1867.67,399883.0,5-HT1a
MOs6a,1021,"Secondary motor area, layer 6a",1.63128,0.0134542,3592450.0,29629.2,2202230.0,5-HT1a
AMBd,939,"Nucleus ambiguus, dorsal division",0.600552,0.00523147,62705.5,546.234,104413.0,5-HT1a
RSPd1,442,"Retrosplenial area, dorsal part, layer 1",1.17179,0.00874491,1513170.0,11292.6,1291330.0,5-HT1a
PAR2,10694,"Parasubiculum, layer 2",4.13513,0.027154,5494850.0,36082.8,1328820.0,5-HT1a
KF,123,Koelliker-Fuse subnucleus,1.43512,0.0110457,602219.0,4635.08,419628.0,5-HT1a
DP2/3,360,"Dorsal peduncular area, layer 2/3",4.62036,0.0333405,816310.0,5890.49,176677.0,5-HT1a
PA,780,Posterior amygdalar nucleus,3.41674,0.0275134,1911680.0,15393.9,559504.0,5-HT1a
MEAad,411,"Medial amygdalar nucleus, anterodorsal part",2.14435,0.0179216,3749290.0,31335.0,1748450.0,5-HT1a
